ablation,абляция (таяние ледников)
abrasion,абразия
abrasive process,абразионный процесс
abrasive rock,абразивная порода
aboveground,надземный
abrupt destruction,внезапное разрушение
absorbed complex,поглощенный комплекс
absorbed dose,поглощенная доза
absorbed dose rate,мощность поглощенной дозы
absorbing capacity,емкость поглощения
absorbing well,поглощающий колодец
absorption,"абсорбция, поглощение"
water absorption,водопоглощение
abutment,"опора, опорная стена, контрфорс"
abyssal,глубинный
abyssal rock,глубинная порода
abyssal deposits,абиссальные (глубинные) отложения
acceleration,ускорение
peak ground acceleration,пиковое ускорение
accelerogram,акселерограмма
synthesized,синтезированная
analogue,аналоговая
accelerograph,акселерограф
acceptable,допустимый
accident,"авария, чрезвычайная ситуация"
emergency,"авария, чрезвычайная ситуация"
accident rate,аварийность
accident elimination,ликвидация аварии
accident-free technology,безаварийная технология
accidental (casual) pollution,случайное загрязнение
accomplish,"выполнять, осуществлять"
accomplish in succession with drilling,выполнять в ходе бурения
accomplish in succession with boring,выполнять в ходе бурения
accrete,обрастать
accumulated dose,накопленная доза
accumulation,"скопление, накопление, аккумуляция"
accumulative plane,аккумулятивная равнина
accumulative plain,аккумулятивная равнина
accuracy,точность
precision,точность
acetic acid,уксусная кислота
acid rain,кислотный дождь
acid rock,кислая порода
soil acidulation,подкисление почвы
acme,"вершина, высшая точка"
apex,"вершина, высшая точка"
acoustic,акустический
acoustic log (sonic log),акустический каротаж
active coating layer,деятельный слой (глубина оттаивания)
active fault,активный разлом
active zone foundation soil,активная зона основания
actual,фактический
actual tide,"фактический прилив, отлив"
actualization,"актуализация, обновление"
updating,"актуализация, обновление"
modifying,"актуализация, обновление"
adit,штольня
gallery,штольня
adit collar,устье штольни
admissible,допустимый
admixture,примесь
adopted system of coordinates,принятая система координат
adsorption,адсорбция
advancement,проходка
adverse conditions,неблагоприятные условия
aeration zone,зона аэрации
aerial photography,аэрофотосъемка
aerial visual observations,аэровизуальные наблюдения
aerobic,аэробный
aerological works,аэрологические работы
aeromagnetic survey,аэромагнитная съемка
affected zone,зона влияния
affirmative part of design,утверждаемая часть проекта
aftershock,афтершок
age,возраст
ageing of radioactive wastes,выдержка радиоактивных отходов
aggregate,"заполнитель, совокупность, скопление"
aggregation state,агрегатное состояние
aggressiveness,агрессивность
aggressive action against concrete,агрессивность к бетону
agreement,соглашение
agricultural afforestation,агролесомелиорация
agriculture,сельское хозяйство
agricultural area,сельскохозяйственные угодья
agrobiocenosis,агробиоценоз
air,воздух
air bubble,пузырек воздуха
air current,воздушный поток
air conditioning,кондиционирование воздуха
aircraft,"воздушное судно, самолет"
air-dried,воздушно-сухой
air flow,воздушный поток
air flow circulation,воздушная циркуляция
airlift,эрлифт
air passage,воздушный канал
air traffic corridor,воздушный коридор
airway,"воздушная линия, воздушная трасса"
alass,алас
albedo,альбедо
alder,ольха
aleurite,алеврит
alkaline,щелочная
alkalinity,щелочность
allowance,"допуск, допускаемое отклонение"
allowable,допустимый
alluvial (proluvial) fan,аллювиальный (пролювиальный) конус выноса
alluvium,аллювий
alternating,переменный
"alternating layers, alternation of beds",переслаивание
altimeter,альтиметр (высотомер)
altitude,высота
aluminosilicate,алюмосиликат
aluminum,алюминий
amendment,поправка
ammonium,аммоний
amount,"количество, сумма, итог"
amplifier,усилитель
amplify,"усиливать, увеличивать"
amplitude амплитуда
amplitude-frequency characteristics,амплитудно-частотные характеристики
anaerobic,анаэробный
analysis,анализ
anchor,анкер (якорь)
anchoring,анкеровка
anchorage,анкеровка
anchoring on the terrain,закрепление на местности
ancient,древний
aneroid,анероид (барометр)
angle,угол
angular unconformity,угловое несогласие
angle of internal friction,угол внутреннего трения
angle of repose,угол естественного откоса
angle of shear,угол сдвига
angle of slide,угол сдвига
angle of slip,угол сдвига
angular unconformity,угловое несогласие
anhydrite,ангидрит
anisotropy,анизотропия
annual,ежегодное (внутригодовое)
annual distribution,внутригодовое распределение
annular space,затрубное пространство
anomaly,аномалия
abnormal,аномальный
anteclise,антеклиза
anticipated value,принятое значение
anticline,антиклиналь
anticlinorium,анитиклинорий
anthropogeneous,антропогенный
anthropogenic,антропогенный
anthropogenic impact,антропогенное воздействие
apparent value,кажущаяся величина
Appendix,приложение (к отчету)
appliance,"прибор, устройство"
application,применение
applied,прикладная
apply,"применять, прилагать"
appraisal,оценка
appropriate,соответствующий (подходящий)
relevant,соответствующий (подходящий)
aquifer,водоносный горизонт (слой)
archaeological,археологический
arch dam,арочная плотина
archived data,архивные материалы
arctic,арктический
areometer,ареометр
argillite,аргиллит
arguillous minerals,глинистые минералы
clay minerals,глинистые минералы
arrangement,размещение
arrival,вступление волны (геофиз.)
artesian,артезианский
artificial base,искусственное (основание)
artificial recharge,искусственное восполнение (воды)
asequential,асеквентный
ash,"зола, пепел"
assessment,оценка
assessment of completeness of collected materials,оценка полноты собранных материалов
assessment of seismic danger,оценка сейсмической опасности
assimilative capacity,ассимилирующая способность
atmosphere,атмосфера
atmospheric,атмосферный
attendant,сопутствующие
associated,сопутствующие
affiliated,сопутствующие
attendant works,сопутствующие работы
associated works,сопутствующие работы
affiliated works,сопутствующие работы
attenuation,затухание
demping,затухание
Atterberg plasticity limits,пределы пластичности по Аттербергу
attitude,"положение, залегание"
attrition,износ
attrition test,испытание на износ
auger,желонка
auger,"сверло, шнек"
aura,ореол
automatic,автоматический
automatic gauge,автоматический датчик
auxiliary works,вспомогательные (сопутствующие) работы
availability,пригодность
avalanche,лавина
"average, mean",средний
average annual air temperature,среднегодовая температура воздуха
axial stress,осевое напряжение
azimuth,азимут
background concentration,фоновая концентрация
back fill,обратная засыпка
back-up,"подтверждать, поддерживать"
backwater,подпор (у плотины)
bacteriological composition,бактериологический состав
bactericide,бактерицид
bailer,желонка
bailing-out,тартание
balance,равновесие
ballast,балласт
kentlege,балласт
banded clay,ленточная глина
bank,насыпь
banquette,насыпь
banking,обвалование
"bank (beach, coast)",берег
bar,"бар, вал"
barometer,барометр
barrage,"барраж, запруда"
barrettes,стена в грунте
barrier,барьер
base,основание
base level of erosion,базис эрозии
base of the foundation,подошва фундамента
base level of the foundation,подошва фундамента
base of seam,подошва пласта
basic parameters,основные параметры
basic station,опорная станция
basin,"бассейн, водоём"
bathymetric survey,батиметрическая съемка
batter,искусственный откос
bay,залив
"beach, coast","берег, пляж"
beach barrier,береговой вал
beam,балка
bearing capacity,несущая способность
beautiful spot,памятник природы
bed,"слой, пласт"
layer,"слой, пласт"
stratum,"слой, пласт"
bed position,элементы залегания
bedding,"напластование, слоистость"
bedding plane,плоскость (поверхность) напластования
bedding conditions,условия залегания пород
bed load,твердый сток
bedrock,коренная порода
base rock,коренная порода
bed silt,донный нанос
beheading,перехват (реки)
bench,"уступ, откос"
cliff,"уступ, откос"
bench mark,"репер над уровнем моря, реки"
bend,излучина (реки)
bent,"склон, наклонный"
bentonite,бентонит
benthos,бентос
"berm, bench",берма
beyond design basis accident,запроектная авария
biocenosis,биоценоз
biochemical oxygen demand,биохимическое потребление кислорода
biogas,биогаз
biogenous matter,биогенное вещество
biogeocenosis,биогеоценоз
bioindication,биоиндикация
biomass,биомасса
biota,биота
biotechnology,биотехнология
biotesting,биотестирование
birch,береза
bituminization,битуминизация
blasting,подрывные работы
blister,гидролакколит
blizzard,буран
block of the Earth crust,блок земной коры
block sample,монолит
block slip,оползень блоковый
blowdown,продувание
blown sands,дюнные (развеваемые) пески
body waves,объемные волны
bog,болото
bogging,заболачивание
bore,"бур, коронка, долото"
bore bit,"бур, коронка, долото"
bore rod,штанга буровая
boreal,бореальный
bore hole,скважина
boring core,керн
boundary,граница
"boring, drilling",бурение
rotary drilling,вращательное бурение
core drilling,колонковое бурение
churn drilling,ударно-канатное бурение
percussion drilling,ударно-канатное бурение
boring with line,ударно-канатное бурение
wash boring,бурение с промывкой
reverse circulation drilling,бурение с обратной промывкой
boring frame,буровой станок
boring rig,буровой станок
boring hole,буровая скважина
boring log,разрез (колонка) скважины
boring log,буровой журнал
boring register,буровой журнал
boring string,буровая колонна
boring tool,буровой снаряд
boring equipment,буровое оборудование
borrow cut,"карьер, каменоломня"
bottom,дно
bottom scoop,дночерпатель (пробоотборник образцов нарушенной структуры)
bottom of layer,подошва пласта
bottom sediments,донные осадки
boulder,"валун, глыба, крупные обломки"
boulder clay,валунный суглинок
boulder loam,валунный суглинок
bowels,недра
bracing,крепление (выработок)
branch,"протока, рукав, ветвь"
branch normative regulations,ведомственные нормативные документы
break-point,критическая точка
break of slope,перегиб (склона)
breakstone,щебень
break-up,вскрытие
breakwater,волнолом
breccia,брекчия
brick,кирпич
bridge,мост
bridge pier,мостовой бык
brim,"край, обрамление"
"brine, pickle",рассол
brittleness,хрупкость
brook,"ручей, протока, рукав"
brooklet,"ручей, протока, рукав"
building,строительство
construction,строительство
industrial,промышленное
civil,гражданское
linear,линейное
power,энергетическое
building materials,строительные материалы
construction materials,строительные материалы
building pit,котлован
bulk density,объемная плотность
bulk head,шпунтовая стенка
bulking,пучение (вспучивание)
buoyancy,плавучесть
burial,захоронение
burial of radioactive wastes,захоронение радиоактивных отходов
burial facility,могильник
buried,погребенный
buried channel,погребенное русло
buried structures,подземные сооружения
burned-out forest,гарь
burst (blast),"взрыв, выброс"
bush,кустарник
buttress dam,контрфорсная плотина
by gravity,самотеком
by sight,на глаз (замер)
by-pass,объезд
by-products,отходы
by-water,старица
cable,"трос, канат, кабель"
cable sheathing,оболочка кабеля
cable-tool drilling,ударно-канатное бурение
cadastre,кадастр
caisson,кессон
calamity,"катастрофа, бедствие"
calcite,кальцит
calculation,"расчет, вычисление"
calculation constant,расчетный показатель
caldera,кальдера
canal,канал
canalization,канализация
candidate sites,конкурентные (конкурирующие) площадки
cantilever,консоль
canyon,каньон
capillary rise,капиллярное поднятие
capillary water,капиллярная вода
capillary zone,зона капиллярного поднятия
capture,перехват (реки)
carbonate,карбонат
carbonaceous,карбонатный (известняковый)
calcareous,карбонатный (известняковый)
carbonic acid,углекислота
carbonic period,каменноугольный период
carjack,домкрат
carjack-type sounding,статическое зондирование
cartogram,картограмма
cartogram of available research materials,картограмма изученности
carry out,"проводить, выполнять"
cascade,порог (речной)
casing,обсадка
casing shoe,башмак (обсадных труб)
casing tube,обсадная труба
catalogue,каталог
catchment area,водосборная площадь
catchment area of ground water,область питания подземных вод
catchment basin,водосборный бассейн
cathodic protection,катодная защита
cation exchange,катионный обмен
cause,причина
cave,"полость, пещера"
cave in,проваливаться
cavern,"каверна, полость, провал"
cedar,кедр
cell,клетка
cement,цемент (горных пород)
grout,цементный раствор
chad,щебень
scree,щебень
chain,цепь
chalk,мел
changes,изменения
changes over time,изменения во времени
change of shore,переработка берега
channel,русло
bed,русло
streambed,русло
characteristic,характеристика
characterize,характеризовать
chemical combination,химическое соединение
chemical composition,химический состав
chemical protection,химическая защита
chemical-analytical research,химико-аналитические исследования
chert,кремень
chisel,долото
chloride-sodium,хлоридно-натриевый
chlorination,хлорирование
chronic poisoning,хроническое отравление
cinder,шлак
circulate,циркулировать
circumstance,обстоятельство
city-building,градостроительство
civil construction,гражданское строительство
classification index,классификационный показатель
classification tests,определение классификационных показателей
clastic rock,обломочная порода
clay,глина
cleaning out,"очищение, очистка"
clearance,зазор
clarification,"пояснение, уточнение"
cleavage,кливаж
cleft,расселина
cliff,обрыв
climate,климат
clinometer,"наклономер, инклинометр"
clints,кары
clogging,кольматация
incrustation,кольматация
cluster of piles,куст свай
coal,уголь
coarse,"крупный, грубый, шероховатый, крупнозернистый"
coarce,"крупный, грубый, шероховатый, крупнозернистый"
coarse clastic,грубообломочный
coarse detrital rock,грубообломочный
coast,побережье
coastal area,прибрежная (морская) территория
coast-protecting structure,берегоукрепительное сооружение
cobble,"булыжник, галька"
coefficient,коэффициент
coefficient of consolidation,коэффициент консолидации
"coefficient of friction, friction factor",коэффициент трения
coefficient of hydraulic conductivity,коэффициент водопроницаемости
coefficient of hydraulic transmissibility,коэффициент водопроводимости
coefficient of linear expansion,коэффициент линейного расширения
coefficient of relative subsidence,коэффициент относительной просадочности
coefficient of rock strength,коэффициент крепости
coefficient of subsurface water flow,коэффициент подземного стока
coefficient of thermal expansion,коэффициент теплового расширения
coefficient of uniformity,"коэффициент неоднородности, степень неоднородности"
coefficient of water storage,коэффициент водоотдачи
cofferdam,перемычка (водонепроницаемая крепь)
cohesion,сцепление
apparent cohesion,кажущееся сцепление
effective cohesion,эффективное сцепление
cohesionless (non-cohesive) soils,несвязные грунты
non-cohesive soils,несвязные грунты
cohesive soil,связный грунт
cold resistance,морозостойкость
cold sum,сумма отрицательных температур
collapse,обрушение
collapse sink,провал
collapsing soils,просадочные грунты
collector,коллектор
collection (gathering) of available data,сбор имеющихся данных
gathering of available data,сбор имеющихся данных
collector well,водосборный колодец
colloid,коллоид
colloidal state,коллоидное состояние
colloidal,коллоидный
colluvium,коллювий
colmatage,кольматаж
"color, colour",цвет
commissioning,ввод в действие
communication line,линия связи
communications,коммуникации
community,"общественность, поселение"
compaction,уплотнение
dynamic,динамическое
static,статическое
compacted,уплотненный
comparison,сравнение
compatibility (consistency),"совместимость, согласованность"
competent bed,компетентный слой
competitive (competing) sites,конкурентные (конкурирующие) площадки
compilation,составление
complete freezing,ледостав
complete monitoring program,полная программа мониторинга
completing,завершение
complex index,комплексный показатель
complex phosphates,фосфаты сложные
complex program,комплексная программа
complexity,сложность
compliance,"согласие, соответствие"
in compliance,в соответствии
components,компоненты
compose,составлять
composite sample,составная проба
composition,состав
composition and condition of soils,состав и состояние грунтов
comprehensive,"исчерпывающий, всесторонний"
comprehensive program,комплексная программа
compressed snow,наст
compressibility,сжимаемость (без возможности бокового расширения)
compression,сжатие
compressive strength,прочность на сжатие
compression index,"коэффициент сжимаемости, коэффициент компрессии"
compression test,"компрессионные испытания, испытания на сжатие"
drained,дренированное
undrained,недренированное
consolidated,консолидированное
unconsolidated,неконсолидированное
compressional wave,продольная волна
computation,расчет
concentration,концентрация
concrete,бетон
concrete dam,бетонная плотина
condensed,уплотненный
conductivity,проводимость
conductor pipe,направляющая труба (при бурении)
cone apex angle ,угол наконечника зонда
interior angle of cone,угол наконечника зонда
cone cross-sectional area,площадь поверхности конуса (при зондировании)
cone of depression,депрессионная воронка
cone of water-table depression,воронка депрессии
cone resistance,сопротивление внедрению конуса (наконечника зонда)
dynamic point resistance,сопротивление динамическому внедрению наконечника
confined ground water,напорные воды
confining layer,водоупор
confirm,подтверждать
confirmation stage,стадия изысканий на выбранной площадке (стадия подтверждения по нормам МАГАТЭ)
IAEA,стадия изысканий на выбранной площадке (стадия подтверждения по нормам МАГАТЭ)
congelation,"замерзание, застывание, затвердение"
conglomerate,конгломерат
"coniferous, needle-leaved",хвойный
conjunctive use,совместное использование
"connate water, relic water",реликтовая вода
connection,взаимосвязь
conservation,консервация
consequences,последствия
consequent,консеквентный
consistency,консистенция
consistency index,показатель консистенции
consolidation,консолидация
coefficient of consolidation,коэффициент консолидации
load consolidation curve,компрессионная кривая
consolidation,упрочнение
lithification,упрочнение
induration,упрочнение
strengthening,упрочнение
constant,"показатель, константа, постоянная величина"
constant rate of loading,равномерное приложение нагрузки
constitute hazards,представлять опасность
constraint,"защемление, ограничение"
consumer,потребитель
containment,защитная оболочка (реактора)
water pollution,загрязнение воды
soil pollution загрязнение почвы
population area pollution,загрязнение населенных мест
contemporary environmental conditions,современное состояние окружающей среды
continent,континент
continuous,непрерывный
continuous coring,непрерывный отбор керна
continuous sampling,непрерывный отбор проб
contour,контур
control,контроль
controlled,контролируемый
control work,увязка (геодезической сети)
convection,конвекция
converting,"преобразование, обращение, перевод из одной системы в другую"
cool down,охлаждать
cooling system,охлаждающая система;
cooling pool,охлаждающий бассейн (пруд-накопитель)
core,"ядро, керн"
core barrel,колонковая труба
core drilling,колонковое бурение
core recovery,выход керна
core extraction,выход керна
corer,грунтонос
coring bit,"бур, коронка, долото"
correction,корректировка
correlation,корреляция
correspond ,соответствовать
corrom,курум
corrosion,коррозия
corrosion activity,коррозионная активность
corrosivity,коррозионная способность
abutment,контрфорс
cover,покрывать
coverage,покрытие
creek,"ручей, протока, рукав"
crest,"гребень, вершина"
criterion,критерий
criteria,критерии
critical,критический
critical angle,критический (предельный) угол
critical state,критическое состояние
critical velocity,критическая скорость
crooked trees,саблевидные деревья
cross-hole shooting,межскважинное просвечивание
"cross section, profile",разрез (по линии)
transverse profile,поперечный профиль
crown fire,верховой пожар
crumpled zone,зона смятия
crushed stone,щебень
crust,"кора, наст"
cryogenesis,криогенез
cryogenic phenomena,криогенные явления
cryopeg,криопег
crystal,кристаллический
culture stratum,культурный слой
cumulative grain-size curve,кумулятивная кривая гранулометрического состава
